{'index': 1, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-04-24 23:16:09.978501', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 5, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:11:06.796305', 'active': 'button_class9', 'input': 'button_clicked', 'input_detail': 'button_class9', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 6, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:11:07.191218', 'active': 'button_class8', 'input': 'button_clicked', 'input_detail': 'button_class8', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 7, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:11:07.545954', 'active': 'button_class11', 'input': 'button_clicked', 'input_detail': 'button_class11', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 8, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:11:08.265646', 'active': 'button_class2', 'input': 'button_clicked', 'input_detail': 'button_class2', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 1, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:15.551029', 'active': 'next_pcd', 'input': 'button_clicked', 'input_detail': 'next_pcd', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 2, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:19.882078', 'active': 'button_class3', 'input': 'button_clicked', 'input_detail': 'button_class3', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': '', 'id': 'P1', 'condition': 'A0', 'pcd': '', 'time': '2023-05-03 19:12:22.393387', 'active': 'button_small_bbox_preview', 'input': 'button_clicked', 'input_detail': 'button_small_bbox', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': '', 'rot_y': '', 'rot_z': '', 'trans_x': '', 'trans_y': '', 'trans_z': ''}
{'index': '', 'id': 'P1', 'condition': 'A0', 'pcd': '', 'time': '2023-05-03 19:12:22.415372', 'active': 'button_small_bbox_preview', 'input': 'button_clicked', 'input_detail': 'button_small_bbox', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': '', 'rot_y': '', 'rot_z': '', 'trans_x': '', 'trans_y': '', 'trans_z': ''}
{'index': '', 'id': 'P1', 'condition': 'A0', 'pcd': '', 'time': '2023-05-03 19:12:22.447387', 'active': 'button_small_bbox_preview', 'input': 'button_clicked', 'input_detail': 'button_small_bbox', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': '', 'rot_y': '', 'rot_z': '', 'trans_x': '', 'trans_y': '', 'trans_z': ''}
{'index': '', 'id': 'P1', 'condition': 'A0', 'pcd': '', 'time': '2023-05-03 19:12:22.478386', 'active': 'button_small_bbox_preview', 'input': 'button_clicked', 'input_detail': 'button_small_bbox', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': '', 'rot_y': '', 'rot_z': '', 'trans_x': '', 'trans_y': '', 'trans_z': ''}
{'index': '', 'id': 'P1', 'condition': 'A0', 'pcd': '', 'time': '2023-05-03 19:12:22.515370', 'active': 'button_small_bbox_preview', 'input': 'button_clicked', 'input_detail': 'button_small_bbox', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': '', 'rot_y': '', 'rot_z': '', 'trans_x': '', 'trans_y': '', 'trans_z': ''}
{'index': '', 'id': 'P1', 'condition': 'A0', 'pcd': '', 'time': '2023-05-03 19:12:22.547121', 'active': 'button_small_bbox_preview', 'input': 'button_clicked', 'input_detail': 'button_small_bbox', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': '', 'rot_y': '', 'rot_z': '', 'trans_x': '', 'trans_y': '', 'trans_z': ''}
{'index': '', 'id': 'P1', 'condition': 'A0', 'pcd': '', 'time': '2023-05-03 19:12:22.576579', 'active': 'button_small_bbox_preview', 'input': 'button_clicked', 'input_detail': 'button_small_bbox', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': '', 'rot_y': '', 'rot_z': '', 'trans_x': '', 'trans_y': '', 'trans_z': ''}
{'index': '', 'id': 'P1', 'condition': 'A0', 'pcd': '', 'time': '2023-05-03 19:12:22.599471', 'active': 'button_small_bbox_preview', 'input': 'button_clicked', 'input_detail': 'button_small_bbox', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': '', 'rot_y': '', 'rot_z': '', 'trans_x': '', 'trans_y': '', 'trans_z': ''}
{'index': '', 'id': 'P1', 'condition': 'A0', 'pcd': '', 'time': '2023-05-03 19:12:22.632473', 'active': 'button_small_bbox_preview', 'input': 'button_clicked', 'input_detail': 'button_small_bbox', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': '', 'rot_y': '', 'rot_z': '', 'trans_x': '', 'trans_y': '', 'trans_z': ''}
{'index': '', 'id': 'P1', 'condition': 'A0', 'pcd': '', 'time': '2023-05-03 19:12:22.665477', 'active': 'button_small_bbox_preview', 'input': 'button_clicked', 'input_detail': 'button_small_bbox', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': '', 'rot_y': '', 'rot_z': '', 'trans_x': '', 'trans_y': '', 'trans_z': ''}
{'index': '', 'id': 'P1', 'condition': 'A0', 'pcd': '', 'time': '2023-05-03 19:12:22.704209', 'active': 'button_small_bbox_preview', 'input': 'button_clicked', 'input_detail': 'button_small_bbox', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': '', 'rot_y': '', 'rot_z': '', 'trans_x': '', 'trans_y': '', 'trans_z': ''}
{'index': '', 'id': 'P1', 'condition': 'A0', 'pcd': '', 'time': '2023-05-03 19:12:22.726394', 'active': 'button_small_bbox_preview', 'input': 'button_clicked', 'input_detail': 'button_small_bbox', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': '', 'rot_y': '', 'rot_z': '', 'trans_x': '', 'trans_y': '', 'trans_z': ''}
{'index': '', 'id': 'P1', 'condition': 'A0', 'pcd': '', 'time': '2023-05-03 19:12:22.767407', 'active': 'button_small_bbox_preview', 'input': 'button_clicked', 'input_detail': 'button_small_bbox', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': '', 'rot_y': '', 'rot_z': '', 'trans_x': '', 'trans_y': '', 'trans_z': ''}
{'index': '', 'id': 'P1', 'condition': 'A0', 'pcd': '', 'time': '2023-05-03 19:12:22.799394', 'active': 'button_small_bbox_preview', 'input': 'button_clicked', 'input_detail': 'button_small_bbox', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': '', 'rot_y': '', 'rot_z': '', 'trans_x': '', 'trans_y': '', 'trans_z': ''}
{'index': '', 'id': 'P1', 'condition': 'A0', 'pcd': '', 'time': '2023-05-03 19:12:22.814657', 'active': 'button_small_bbox_draw', 'input': 'button_clicked', 'input_detail': 'draw_small_bbox', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': '', 'rot_y': '', 'rot_z': '', 'trans_x': '', 'trans_y': '', 'trans_z': ''}
{'index': 3, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:22.837374', 'active': 'create_plus_bbox', 'input': 'mouse_left_clicked', 'input_detail': 'mouse_left_clicked', 'mouse_position_x': 393, 'mouse_position_y': 648, 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 4, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:22.842381', 'active': 'set_bbox_side', 'input': 'mouse_point', 'input_detail': 'mouse_point', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 5, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:22.844380', 'active': 'change_bbox_side', 'input': 'mouse_scroll', 'input_detail': 'mouse_scroll', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 6, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:22.857271', 'active': 'set_bbox_side', 'input': 'mouse_point', 'input_detail': 'mouse_point', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 7, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:22.859381', 'active': 'change_bbox_side', 'input': 'mouse_scroll', 'input_detail': 'mouse_scroll', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 8, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:22.881290', 'active': 'set_bbox_side', 'input': 'mouse_point', 'input_detail': 'mouse_point', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 9, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:22.884290', 'active': 'change_bbox_side', 'input': 'mouse_scroll', 'input_detail': 'mouse_scroll', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 10, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:22.923679', 'active': 'set_bbox_side', 'input': 'mouse_point', 'input_detail': 'mouse_point', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 11, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:22.926781', 'active': 'change_bbox_side', 'input': 'mouse_scroll', 'input_detail': 'mouse_scroll', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 12, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:22.944706', 'active': 'set_bbox_side', 'input': 'mouse_point', 'input_detail': 'mouse_point', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 13, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:22.948689', 'active': 'change_bbox_side', 'input': 'mouse_scroll', 'input_detail': 'mouse_scroll', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 14, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:22.976706', 'active': 'set_bbox_side', 'input': 'mouse_point', 'input_detail': 'mouse_point', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 15, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:22.981702', 'active': 'change_bbox_side', 'input': 'mouse_scroll', 'input_detail': 'mouse_scroll', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 16, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:23.009706', 'active': 'set_bbox_side', 'input': 'mouse_point', 'input_detail': 'mouse_point', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 17, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:23.014713', 'active': 'change_bbox_side', 'input': 'mouse_scroll', 'input_detail': 'mouse_scroll', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 18, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:23.040689', 'active': 'set_bbox_side', 'input': 'mouse_point', 'input_detail': 'mouse_point', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 19, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:23.073971', 'active': 'set_bbox_side', 'input': 'mouse_point', 'input_detail': 'mouse_point', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 20, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:23.104983', 'active': 'set_bbox_side', 'input': 'mouse_point', 'input_detail': 'mouse_point', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 21, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:23.137970', 'active': 'set_bbox_side', 'input': 'mouse_point', 'input_detail': 'mouse_point', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 22, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:23.163983', 'active': 'set_bbox_side', 'input': 'mouse_point', 'input_detail': 'mouse_point', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 23, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:23.195970', 'active': 'set_bbox_side', 'input': 'mouse_point', 'input_detail': 'mouse_point', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 24, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:23.226971', 'active': 'set_bbox_side', 'input': 'mouse_point', 'input_detail': 'mouse_point', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 25, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:23.266930', 'active': 'set_bbox_side', 'input': 'mouse_point', 'input_detail': 'mouse_point', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 26, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:23.290930', 'active': 'set_bbox_side', 'input': 'mouse_point', 'input_detail': 'mouse_point', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 27, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:23.315929', 'active': 'set_bbox_side', 'input': 'mouse_point', 'input_detail': 'mouse_point', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 28, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:23.348932', 'active': 'set_bbox_side', 'input': 'mouse_point', 'input_detail': 'mouse_point', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 29, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:23.378951', 'active': 'set_bbox_side', 'input': 'mouse_point', 'input_detail': 'mouse_point', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 30, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:23.413932', 'active': 'set_bbox_side', 'input': 'mouse_point', 'input_detail': 'mouse_point', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 31, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:23.442952', 'active': 'set_bbox_side', 'input': 'mouse_point', 'input_detail': 'mouse_point', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
{'index': 32, 'id': 'P1', 'condition': 'A0', 'pcd': 'aaraw_scene0003_00_initial.ply', 'time': '2023-05-03 19:12:23.475930', 'active': 'set_bbox_side', 'input': 'mouse_point', 'input_detail': 'mouse_point', 'mouse_position_x': '', 'mouse_position_y': '', 'rot_x': 307.2000000000028, 'rot_y': 0.0, 'rot_z': 229.6000000000065, 'trans_x': -1.6277662659797736, 'trans_y': -1.7807321539305445, 'trans_z': -7.801795228213171}
